geoid,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
01103,1191846,205067,0.46,0.079,42.104106,-72.592027,2017
01104,13509672,212850,5.216,0.08199999999999999,42.134009000000006,-72.56537800000001,2017
01105,3219039,306963,1.2429999999999999,0.11900000000000001,42.099958,-72.580765,2017
01106,24016632,1344937,9.273,0.519,42.047565000000006,-72.57113000000001,2017
01107,3903488,89142,1.507,0.034,42.12106,-72.607068,2017
01108,9648043,406406,3.725,0.157,42.080692,-72.56079100000001,2017
01109,14094962,487888,5.442,0.188,42.119673999999996,-72.549726,2017
01118,9312234,260881,3.595,0.10099999999999999,42.094194,-72.525081,2017
01119,9194299,241735,3.55,0.09300000000000001,42.124978000000006,-72.51120999999999,2017
01128,2887382,1287,1.115,0.0,42.092296000000005,-72.489135,2017
01129,8875270,237886,3.427,0.092,42.118671,-72.488203,2017
01151,6135193,479252,2.369,0.185,42.15186,-72.50913100000001,2017
01199,28277,0,0.011000000000000001,0.0,42.120563,-72.60446800000001,2017
01201,137100028,6754457,52.935,2.608,42.448236,-73.27372700000001,2017
01220,63690793,189771,24.590999999999998,0.073,42.623799,-73.116736,2017
01222,8566364,332862,3.307,0.129,42.058703,-73.322175,2017
01223,180705971,5297500,69.771,2.045,42.312225,-73.110124,2017
01224,720507,82246,0.278,0.032,42.513163,-73.19574300000001,2017
01225,65032902,1827513,25.109,0.706,42.563401,-73.153335,2017
01226,68283556,366482,26.364,0.141,42.481119,-73.13507299999999,2017
01229,1897309,1745,0.733,0.001,42.276338,-73.33589599999999,2017
01230,237030361,4523580,91.51799999999999,1.7469999999999999,42.173195,-73.32429,2017
01235,118234582,2794600,45.651,1.079,42.425677,-73.063028,2017
01236,12442176,157973,4.803999999999999,0.061,42.266496000000004,-73.378393,2017
01237,160145850,1132956,61.833,0.43700000000000006,42.547818,-73.268033,2017
01238,90221001,2706102,34.835,1.045,42.297501000000004,-73.230148,2017
01240,55363291,1159119,21.375999999999998,0.44799999999999995,42.367858,-73.269763,2017
