state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
IL,1743200,Woodlawn Community High School District 205,9,12,261108247,434007,100.814,0.168,38.359949,-89.057506,2017
IL,1743890,Zion-Benton Township High School District 126,9,12,94492797,1187206,36.484,0.45799999999999996,42.461107,-87.872624,2017
KY,2121001,Laurel County School District for East Bernstadt ISD,9,12,13374173,37742,5.164,0.015,37.192510999999996,-84.115452,2017
KY,2121002,Pulaski County School District for Science Hill ISD,9,12,16157206,82670,6.2379999999999995,0.032,37.176783,-84.624303,2017
KY,2121003,Elizabethtown Independent School District for West Point ISD,9,12,10558920,2199755,4.077,0.8490000000000001,37.989678999999995,-85.96830600000001,2017
KY,2121004,Jefferson County School District in Anchorage ISD,9,12,7735417,39589,2.987,0.015,38.269785999999996,-85.537633,2017
KY,2121005,Campbell County School District in Southgate ISD,9,12,3724050,6649,1.4380000000000002,0.003,39.064135,-84.470578,2017
ME,2300053,Five Town Community School District,9,12,341609095,75260553,131.89600000000002,29.058000000000003,44.254201,-69.137971,2017
ME,2303480,Bremen,9,12,42647102,29483360,16.465999999999998,11.384,43.98007,-69.43038100000001,2017
ME,2304830,Damariscotta,9,12,32204515,5899813,12.434000000000001,2.278,44.022351,-69.490756,2017
ME,2308400,Moosabec Community School District,9,12,88398563,296736114,34.131,114.57,44.505912,-67.534242,2017
ME,2308500,Mount Desert Community School District,9,12,283523740,216452463,109.469,83.573,44.318803,-68.323267,2017
ME,2308760,Newcastle,9,12,75245159,9108003,29.052,3.517,44.052277000000004,-69.567522,2017
MA,2500541,Somerset-Berkley School District,9,12,63224156,12706712,24.410999999999998,4.906000000000001,41.80236,-71.112095,2017
MA,2501920,Amherst-Pelham School District,7,12,264253004,6076390,102.029,2.346,42.416759000000006,-72.450132,2017
MA,2502580,Berlin-Boylston School District,7,12,75184982,10081828,29.029,3.8930000000000002,42.371781,-71.681196,2017
MA,2503870,Concord-Carlisle School District,9,12,103050129,4051905,39.788000000000004,1.564,42.490372,-71.35326500000001,2017
MA,2504290,Dover-Sherborn School District,6,12,80051871,1782995,30.908,0.688,42.235619,-71.332954,2017
MA,2504560,Nauset School District,6,12,183516613,99662295,70.85600000000001,38.48,41.833318,-70.003787,2017
MA,2505100,Frontier School District,7,12,270644012,5803445,104.49600000000001,2.241,42.487182000000004,-72.64758,2017
MA,2505740,Hampshire School District,7,12,334152219,4978684,129.017,1.922,42.349498,-72.78214,2017
MA,2506510,King Philip School District,7,12,123269013,4981015,47.593999999999994,1.923,42.058195,-71.350877,2017
MA,2506930,Lincoln-Sudbury School District,9,12,99725359,3213670,38.504,1.2409999999999999,42.400826,-71.389689,2017
MA,2507380,Martha's Vineyard School District,9,12,233156013,675384851,90.022,260.768,41.366172999999996,-70.632538,2017
MA,2507410,Masconomet School District,7,12,126650899,7249902,48.9,2.799,42.652167,-71.001001,2017
MA,2508160,Mount Greylock School District,7,12,230581381,2265402,89.02799999999999,0.875,42.61529,-73.239727,2017
MA,2508910,Northborough-Southborough School District,9,12,84137714,4625880,32.486,1.786,42.313347,-71.59321,2017
MA,2509150,Old Rochester School District,7,12,168265035,55422825,64.967,21.399,41.718236,-70.81134300000001,2017
MA,2509900,Ralph C. Mahar School District,7,12,429769350,75746679,165.935,29.246,42.441969,-72.369957,2017
MA,2510830,Silver Lake School District,7,12,127685926,9520318,49.3,3.676,41.977901,-70.796472,2017
MA,2511490,Tantasqua School District,7,12,299312745,11237893,115.565,4.3389999999999995,42.121586,-72.165014,2017
MA,2522222,Mohawk Trail Regional School District in Hawley and Charlemont towns,7,12,146907908,1191123,56.721000000000004,0.46,42.61045,-72.88773499999999,2017
MA,2525002,North Adams School District in Clarksburg (9-12),9,12,32868742,267283,12.690999999999999,0.10300000000000001,42.72272,-73.105818,2017
MA,2525003,Gill-Montague School District in Erving (7-12),7,12,35721723,1529359,13.792,0.59,42.613417999999996,-72.426428,2017
MA,2525005,Swampscott School District in Nahant (7-12),7,12,2708895,37778568,1.046,14.585999999999999,42.419278999999996,-70.930091,2017
MA,2525006,Pittsfield School District in Richmond (9-12),9,12,48456299,840962,18.709,0.325,42.383497,-73.359187,2017
MA,2525007,Mohawk Trail School District in Rowe (7-12),7,12,60706981,1511949,23.439,0.584,42.695532,-72.909148,2017
MA,2525008,Adams-Cheshire School District in Savoy (7-12),7,12,92878793,452282,35.861,0.175,42.594165999999994,-73.02232,2017
MA,2525009,North Adams School District in Florida (9-12),9,12,63107660,609587,24.366,0.235,42.680040999999996,-73.015814,2017
MA,2525010,Fairhaven/New Bedford School Districts in Acushnet (9-12),9,12,47727277,1350798,18.428,0.522,41.718216999999996,-70.901151,2017
MA,2525012,Nauset/Provincetown School Districts in Turo (7-12),7,12,54268867,13686727,20.953000000000003,5.284,42.01356,-70.064152,2017
MA,2525013,Mount Greylock/New Lebanon (NY) School Districts in Hancock (7-12),7,12,92450613,177284,35.695,0.068,42.524696,-73.323177,2017
MA,2525014,North Adams School District in Monroe (9-12),9,12,27680120,260815,10.687000000000001,0.10099999999999999,42.727771999999995,-72.98534599999999,2017
MA,2525015,Lee/Berkshire Hills in Farmington River Regional (7-12),7,12,226341206,9375733,87.391,3.62,42.151092,-73.11320699999999,2017
MN,2727001,Park Rapids Public School District in Pine Point (9-12),9,12,10707431,2071546,4.1339999999999995,0.8,46.997586,-95.395388,2017
MN,2727002,Clinton-Graceville-Beardsley-Wheaton-Sisseton/Wilmot (SD) in Browns Valley (9-12),9,12,120256290,18198228,46.431000000000004,7.026,45.651305,-96.750555,2017
MN,2727003,Minneota-Ivanhoe Public School Districts in Ivanhoe (7-12),7,12,374419868,9590646,144.564,3.7030000000000003,44.467605,-96.231076,2017
MN,2727004,Marshall-Minneota-RTR Public Schools in Lynd (9-12),9,12,186657821,816942,72.069,0.315,44.403304999999996,-95.927624,2017
MN,2727005,Marshall-Tracy Public Schools in Milroy (9-12),9,12,225626224,1032089,87.115,0.39799999999999996,44.434412,-95.530744,2017
MN,2727006,Heron Lake-Okabena-Fulda-Worthington in Round Lake-Brewster (9-12),9,12,355350343,6452265,137.202,2.491,43.63402,-95.47321099999999,2017
MN,2727007,St. Louis-Northland in Nett Lake (7-12),7,12,250241266,29530604,96.619,11.402000000000001,48.129934999999996,-93.176919,2017
MT,3000095,Lame Deer High School District,9,12,3575279106,517306,1380.4229999999998,0.2,45.438333,-106.58886000000001,2017
MT,3000097,North Star High School District,9,12,2678746527,14409084,1034.27,5.563,48.632565,-110.381018,2017
MT,3000101,Chester-Joplin-Inverness High School District,9,12,4518596270,45860140,1744.64,17.707,48.572931,-110.954621,2017
MT,3000933,Shields Valley High School District,9,12,2027174872,3101372,782.697,1.197,45.972893,-110.60869699999999,2017
MT,3001740,Absarokee High School District,9,12,1606742707,6875628,620.367,2.655,45.376615,-109.750197,2017
MT,3002030,Anaconda High School District,9,12,1725310885,12167915,666.1460000000001,4.698,46.021827,-113.06728500000001,2017
MT,3002250,Arlee High School District,9,12,703168800,2299956,271.495,0.888,47.158552,-113.952192,2017
MT,3002450,Augusta High School District,9,12,3249597485,23271665,1254.677,8.985,47.469266,-112.617295,2017
MT,3003090,Beaverhead County High School District,9,12,10164635006,31606861,3924.5879999999997,12.203,45.384974,-113.059147,2017
MT,3003330,Belgrade High School District,9,12,511971096,1299258,197.673,0.502,45.836764,-111.12852600000001,2017
MT,3003450,Belt High School District,9,12,1765422443,556278,681.633,0.215,47.226924,-110.889885,2017
MT,3003750,Big Sandy High School District,9,12,3446782585,15622963,1330.81,6.032,48.052704,-110.07030800000001,2017
MT,3003840,Bigfork High School District,9,12,1215985679,79682497,469.495,30.766,47.84815,-113.873745,2017
MT,3003900,Billings High School District,9,12,1908841819,8815069,737.008,3.404,45.688497999999996,-108.45994099999999,2017
MT,3004500,Box Elder High School District,9,12,519658876,535169,200.641,0.207,48.398311,-110.06151899999999,2017
MT,3004590,Bozeman High School District,9,12,1717460191,3957249,663.115,1.528,45.594278,-111.06697700000001,2017
MT,3004860,Powder River County High School District,9,12,8778588660,1736644,3389.4320000000002,0.6709999999999999,45.408926,-105.55534399999999,2017
MT,3004920,Broadview High School District,9,12,1103853226,1662139,426.2,0.642,46.054068,-108.803789,2017
MT,3005040,Brockton High School District,9,12,219559441,4856343,84.772,1.875,48.167154,-104.799841,2017
MT,3005190,Browning High School District,9,12,6112538761,93678213,2360.065,36.169000000000004,48.670078000000004,-113.156827,2017
MT,3005310,Butte High School District,9,12,1785342245,1518177,689.325,0.586,45.904708,-112.671076,2017
MT,3005610,Carter County High School District,9,12,8415493015,19332635,3249.24,7.4639999999999995,45.516825,-104.51532399999999,2017
