state,geoid,ansi_code,name,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
GA,13145,326700,Harris County,1201447999,23502960,463.88199999999995,9.075,32.731549,-84.912432,2017
GA,13147,1687995,Hart County,601908709,63583341,232.398,24.55,34.348733,-82.96329,2017
GA,13149,347067,Heard County,766640653,13190449,296.002,5.093,33.291346999999995,-85.137886,2017
GA,13151,1671894,Henry County,825201574,20443113,318.612,7.893,33.452946999999995,-84.154021,2017
GA,13153,1671693,Houston County,972671487,11319233,375.551,4.37,32.458381,-83.662856,2017
GA,13155,352302,Irwin County,917793238,21758147,354.36199999999997,8.401,31.604306,-83.27703699999999,2017
GA,13157,349570,Jackson County,879710263,8907131,339.658,3.4389999999999996,34.130881,-83.562566,2017
GA,13159,346144,Jasper County,953536358,13732175,368.162,5.3020000000000005,33.318169,-83.69014200000001,2017
GA,13161,1687999,Jeff Davis County,856690612,11986249,330.77,4.628,31.811615000000003,-82.636825,2017
GA,13163,345714,Jefferson County,1363593760,8237192,526.487,3.18,33.058176,-82.420004,2017
GA,13165,342985,Jenkins County,899563041,13338830,347.32300000000004,5.15,32.794563000000004,-81.971524,2017
GA,13167,346664,Johnson County,784793323,9278537,303.01,3.582,32.694584000000006,-82.66396999999999,2017
GA,13169,345367,Jones County,1020296386,3827965,393.939,1.4780000000000002,33.020226,-83.562339,2017
GA,13171,326713,Lamar County,475262778,6046030,183.5,2.334,33.074459999999995,-84.146721,2017
GA,13173,348102,Lanier County,479903057,37546688,185.292,14.497,31.038196999999997,-83.063164,2017
GA,13175,346568,Laurens County,2090842776,28985734,807.279,11.190999999999999,32.39322,-82.926317,2017
