geoid,name,urban_area_type,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
04816,"Ballinger, TX Urban Cluster",C,5224799,0,2.017,0.0,31.742188,-99.955786,2017
04843,"Baltimore, MD Urbanized Area",U,1856841121,65517539,716.93,25.296,39.234099,-76.64775999999999,2017
04870,"Baltimore, OH Urban Cluster",C,6950431,0,2.6839999999999997,0.0,39.843837,-82.587277,2017
04897,"Bamberg, SC Urban Cluster",C,7238006,0,2.795,0.0,33.298559999999995,-81.029973,2017
04924,"Bandon, OR Urban Cluster",C,5707454,7562,2.204,0.003,43.113779,-124.41551799999999,2017
04951,"Bangor, ME Urbanized Area",U,109957644,3813324,42.455,1.472,44.834066,-68.748807,2017
05005,"Baraboo, WI Urban Cluster",C,16090108,186855,6.212000000000001,0.07200000000000001,43.468540000000004,-89.748766,2017
05032,"Barbourville, KY Urban Cluster",C,13085664,158660,5.052,0.061,36.860165,-83.85534799999999,2017
05059,"Bardstown, KY Urban Cluster",C,44048020,384160,17.007,0.14800000000000002,37.835762,-85.46600000000001,2017
05086,"Bar Harbor, ME Urban Cluster",C,4387702,0,1.694,0.0,44.392241,-68.221804,2017
05113,"Barnesville, GA Urban Cluster",C,14054293,102435,5.426,0.04,33.052313,-84.154709,2017
05140,"Barnesville, OH Urban Cluster",C,5154238,31354,1.99,0.012,39.988847,-81.17263299999999,2017
05167,"Barnstable Town, MA Urbanized Area",U,718601908,58462671,277.454,22.573,41.823248,-70.73623,2017
05194,"Barnwell, SC Urban Cluster",C,9372803,40813,3.6189999999999998,0.016,33.248668,-81.361338,2017
05221,"Barre--Montpelier, VT Urban Cluster",C,45889815,525495,17.718,0.203,44.198429,-72.517883,2017
05248,"Barron, WI Urban Cluster",C,4959116,49729,1.915,0.019,45.401877,-91.852847,2017
05275,"Barrow, AK Urban Cluster",C,2102060,437401,0.812,0.16899999999999998,71.29366999999999,-156.764378,2017
05302,"Barstow, CA Urban Cluster",C,31972224,0,12.345,0.0,34.888025,-117.038426,2017
05329,"Bartlesville, OK Urban Cluster",C,63449863,32200,24.498,0.012,36.745387,-95.956299,2017
05356,"Bartlett, TX Urban Cluster",C,2792677,1094,1.078,0.0,30.796198999999998,-97.433073,2017
05410,"Basalt--El Jebel, CO Urban Cluster",C,10427999,23798,4.026,0.009000000000000001,39.405046,-107.162186,2017
05423,"Basehor, KS Urban Cluster",C,6337535,102674,2.447,0.04,39.127539,-94.94175600000001,2017
05437,"Bastrop, LA Urban Cluster",C,26101216,105190,10.078,0.040999999999999995,32.776783,-91.913851,2017
05464,"Bastrop, TX Urban Cluster",C,29716780,338214,11.474,0.131,30.193702000000002,-97.298965,2017
05491,"Batavia, NY Urban Cluster",C,20720562,211667,8.0,0.08199999999999999,43.002665,-78.177406,2017
05518,"Batesburg-Leesville, SC Urban Cluster",C,14966941,127564,5.779,0.049,33.908055,-81.510262,2017
05545,"Batesville, AR Urban Cluster",C,23827441,202777,9.2,0.078,35.7706,-91.63354100000001,2017
05572,"Batesville, IN Urban Cluster",C,15590312,118684,6.019,0.046,39.297793,-85.199664,2017
05599,"Batesville, MS Urban Cluster",C,21323039,0,8.232999999999999,0.0,34.304012,-89.94215799999999,2017
05653,"Bath, NY Urban Cluster",C,11099053,244884,4.285,0.095,42.34625,-77.31416999999999,2017
05680,"Baton Rouge, LA Urbanized Area",U,950010859,11822111,366.801,4.565,30.427884999999996,-91.038912,2017
05707,"Battle Creek, MI Urbanized Area",U,137402037,3529055,53.051,1.3630000000000002,42.31374,-85.197926,2017
05734,"Battlement Mesa, CO Urban Cluster",C,7577729,907,2.926,0.0,39.461661,-108.040535,2017
05761,"Battle Mountain, NV Urban Cluster",C,5040053,0,1.946,0.0,40.638335999999995,-116.946269,2017
05788,"Baxley, GA Urban Cluster",C,14613423,13203,5.642,0.005,31.771186,-82.34688299999999,2017
05815,"Baxter Springs, KS Urban Cluster",C,11515598,0,4.446000000000001,0.0,37.021334,-94.737759,2017
05842,"Bayard, NM Urban Cluster",C,7015986,33593,2.7089999999999996,0.013000000000000001,32.764832,-108.140064,2017
05869,"Bay City, MI Urbanized Area",U,104451544,4164094,40.329,1.608,43.608621,-83.890506,2017
05896,"Bay City, TX Urban Cluster",C,24204422,25388,9.345,0.01,28.980702,-95.95492800000001,2017
05904,"Bayfield, CO Urban Cluster",C,4733115,0,1.827,0.0,37.241913000000004,-107.59676499999999,2017
05923,"Bay Minette, AL Urban Cluster",C,14865635,139486,5.74,0.054000000000000006,30.883529,-87.775532,2017
05958,"Bealeton, VA Urban Cluster",C,9545701,26766,3.6860000000000004,0.01,38.567378000000005,-77.786511,2017
05977,"Beardstown, IL Urban Cluster",C,7464881,212330,2.8819999999999997,0.08199999999999999,40.013699,-90.42371999999999,2017
06004,"Beatrice, NE Urban Cluster",C,17390216,170156,6.7139999999999995,0.066,40.267398,-96.743305,2017
06031,"Beaufort--Port Royal, SC Urban Cluster",C,118871449,13055726,45.897,5.041,32.421915999999996,-80.716466,2017
06058,"Beaumont, TX Urbanized Area",U,237471146,2860934,91.68799999999999,1.105,30.11918,-94.127119,2017
06076,"Beaver, UT Urban Cluster",C,5329864,0,2.0580000000000003,0.0,38.278832,-112.636073,2017
06085,"Beaver Dam, KY Urban Cluster",C,10818673,38214,4.177,0.015,37.398446,-86.874001,2017
06112,"Beaver Dam, WI Urban Cluster",C,20427956,71655,7.8870000000000005,0.027999999999999997,43.465787,-88.83322,2017
06128,"Becker, MN Urban Cluster",C,5079687,4722,1.9609999999999999,0.002,45.40383,-93.87441899999999,2017
06139,"Beckley, WV Urbanized Area",U,157928602,719851,60.977,0.278,37.867888,-81.215582,2017
06166,"Bedford, IN Urban Cluster",C,30402519,2314,11.738,0.001,38.856653,-86.501238,2017
06186,"Bedford, NY Urban Cluster",C,10154555,141660,3.9210000000000003,0.055,41.175921,-73.651332,2017
06193,"Bedford, PA Urban Cluster",C,8500432,207474,3.282,0.08,40.024894,-78.505088,2017
06220,"Bedford, VA Urban Cluster",C,17375296,29339,6.709,0.011000000000000001,37.338355,-79.52592800000001,2017
06247,"Beebe, AR Urban Cluster",C,11384552,0,4.396,0.0,35.069159,-91.89305999999999,2017
06261,"Beecher, IL Urban Cluster",C,5219768,0,2.015,0.0,41.351042,-87.620473,2017
06274,"Beeville, TX Urban Cluster",C,31495914,0,12.161,0.0,28.389754999999997,-97.732662,2017
06301,"Belding, MI Urban Cluster",C,12339145,468185,4.763999999999999,0.18100000000000002,43.096484999999994,-85.233029,2017
06335,"Belfair, WA Urban Cluster",C,7746281,1964,2.991,0.001,47.448543,-122.85743300000001,2017
06355,"Belfast, ME Urban Cluster",C,6847382,417657,2.6439999999999997,0.161,44.423628,-69.00559399999999,2017
06382,"Belgrade, MT Urban Cluster",C,26874293,116430,10.376,0.045,45.7825,-111.18597199999999,2017
06436,"Bellefontaine, OH Urban Cluster",C,14009060,0,5.409,0.0,40.359115,-83.75285500000001,2017
06463,"Bellefonte, PA Urban Cluster",C,24771908,0,9.564,0.0,40.880809,-77.779409,2017
06490,"Belle Fourche, SD Urban Cluster",C,6854886,0,2.647,0.0,44.664958,-103.850233,2017
06517,"Belle Glade, FL Urban Cluster",C,21481925,27832,8.294,0.011000000000000001,26.684083,-80.678914,2017
06571,"Belle Plaine, MN Urban Cluster",C,6715790,0,2.593,0.0,44.620067,-93.764613,2017
06598,"Bellevue, IA Urban Cluster",C,4191171,0,1.618,0.0,42.264790000000005,-90.431551,2017
06625,"Bellevue, OH Urban Cluster",C,13750729,301671,5.309,0.11599999999999999,41.277074,-82.84458000000001,2017
06652,"Bellingham, WA Urbanized Area",U,124340122,9138441,48.008,3.528,48.77284,-122.476127,2017
06679,"Bellows Falls, VT--NH Urban Cluster",C,10143028,451988,3.9160000000000004,0.175,43.123515000000005,-72.446683,2017
06692,"Bells, TN Urban Cluster",C,10455177,16845,4.037,0.006999999999999999,35.727149,-89.086559,2017
06706,"Bellville, TX Urban Cluster",C,5923110,25123,2.287,0.01,29.946233000000003,-96.260553,2017
06733,"Beloit, KS Urban Cluster",C,4660471,0,1.7990000000000002,0.0,39.461195000000004,-98.105971,2017
